PartNumber	PartName	Designation	d_dia(mm)	p_pitch(mm)	threading(mm)	l_nom_length(mm)	l_max_length(mm)	k_max_head_depth(mm)	k1_head_edge_length(mm)	a_max(mm)	c_min(mm)	c_max(mm)	da_max(mm)	dw_min(mm)	e(mm)	r_min(mm)	s_nom_across_flats(mm)	Grade	Material	Reference	Edition
JIS B 1180 SCREW M30x65 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x65_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	54.5	65.0	66.5	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x70 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x70_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	59.5	70.0	71.5	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x80 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x80_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	69.5	80.0	81.5	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x90 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x90_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	79.5	90.0	91.75	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x100 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x100_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	89.5	100.0	101.75	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x110 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x110_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	99.5	110.0	111.75	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x120 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x120_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	109.5	120.0	121.75	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x130 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x130_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	119.5	130.0	132.0	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x140 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x140_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	129.5	140.0	142.0	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x150 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x150_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	139.5	150.0	152.0	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x160 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x160_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	149.5	160.0	162.0	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x180 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x180_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	169.5	180.0	182.0	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x200 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x200_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	189.5	200.0	202.3	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x220 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x220_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	209.5	220.0	222.3	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x240 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x240_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	229.5	240.0	242.3	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x260 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x260_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	249.5	260.0	262.6	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x280 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x280_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	269.5	280.0	282.6	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M30x300 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M30x300_GRADE_B_STEEL_HEX_HEAD_SCREW	M30	30.0	3.5	289.5	300.0	302.6	19.12	12.8	10.5	0.2	0.8	33.4	42.75	50.85	1.0	46.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x40 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x40_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	28.0	40.0	40.5	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x45 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x45_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	33.0	45.0	45.5	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x50 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x50_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	38.0	50.0	50.5	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x55 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x55_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	43.0	55.0	55.6	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x60 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x60_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	48.0	60.0	61.5	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x65 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x65_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	53.0	65.0	66.5	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x70 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x70_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	58.0	70.0	71.5	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x80 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x80_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	68.0	80.0	81.5	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x90 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x90_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	78.0	90.0	91.75	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x100 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x100_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	88.0	100.0	101.75	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x110 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x110_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	98.0	110.0	111.75	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x120 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x120_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	108.0	120.0	121.75	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x130 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x130_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	118.0	130.0	132.0	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x140 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x140_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	128.0	140.0	142.0	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x150 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x150_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	138.0	150.0	152.0	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x160 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x160_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	148.0	160.0	162.0	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x180 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x180_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	168.0	180.0	182.0	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x200 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x200_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	188.0	200.0	202.3	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x220 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x220_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	208.0	220.0	222.3	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x240 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x240_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	228.0	240.0	242.3	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x260 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x260_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	248.0	260.0	262.6	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x280 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x280_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	268.0	280.0	282.6	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x300 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x300_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	288.0	300.0	302.6	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x320 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x320_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	308.0	320.0	322.85	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x340 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x340_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	328.0	340.0	342.85	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M36x360 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M36x360_GRADE_B_STEEL_HEX_HEAD_SCREW	M36	36.0	4.0	348.0	360.0	362.85	22.92	15.46	12.0	0.2	0.8	39.4	51.11	60.79	1.0	55.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x80 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x80_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	66.5	80.0	81.5	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x90 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x90_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	76.5	90.0	91.75	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x100 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x100_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	86.5	100.0	101.75	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x110 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x110_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	96.5	110.0	111.75	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x120 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x120_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	106.5	120.0	121.75	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x130 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x130_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	116.5	130.0	132.0	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x140 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x140_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	126.5	140.0	142.0	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x150 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x150_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	136.5	150.0	152.0	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x160 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x160_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	146.5	160.0	162.0	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x180 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x180_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	166.5	180.0	182.0	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x200 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x200_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	186.5	200.0	202.3	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x220 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x220_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	206.5	220.0	222.3	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x240 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x240_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	226.5	240.0	242.3	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x260 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x260_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	246.5	260.0	262.6	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x280 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x280_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	266.5	280.0	282.6	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x300 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x300_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	286.5	300.0	302.6	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x320 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x320_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	306.5	320.0	322.85	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x340 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x340_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	326.5	340.0	342.85	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x360 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x360_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	346.5	360.0	362.85	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x380 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x380_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	366.5	380.0	382.85	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x400 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x400_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	386.5	400.0	402.85	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M42x420 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M42x420_GRADE_B_STEEL_HEX_HEAD_SCREW	M42	42.0	4.5	406.5	420.0	423.15	26.42	17.91	13.5	0.3	1.0	45.6	59.95	71.3	1.2	65.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x100 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x100_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	85.0	100.0	101.75	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x110 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x110_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	95.0	110.0	111.75	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x120 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x120_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	105.0	120.0	121.75	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x130 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x130_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	115.0	130.0	132.0	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x140 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x140_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	125.0	140.0	142.0	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x150 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x150_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	135.0	150.0	152.0	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x160 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x160_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	145.0	160.0	162.0	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x180 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x180_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	165.0	180.0	182.0	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x200 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x200_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	185.0	200.0	202.3	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x220 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x220_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	205.0	220.0	222.3	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x240 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x240_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	225.0	240.0	242.3	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x260 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x260_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	245.0	260.0	262.6	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x280 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x280_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	265.0	280.0	282.6	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x300 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x300_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	285.0	300.0	302.6	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x320 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x320_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	305.0	320.0	322.85	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x340 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x340_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	325.0	340.0	342.85	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x360 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x360_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	345.0	360.0	362.85	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x380 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x380_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	365.0	380.0	382.85	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x400 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x400_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	385.0	400.0	402.85	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x420 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x420_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	405.0	420.0	423.15	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x440 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x440_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	425.0	440.0	443.15	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x460 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x460_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	445.0	460.0	463.15	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
JIS B 1180 SCREW M48x480 GRADE B STEEL HEXAGON HEAD	JIS_B_1180_M48x480_GRADE_B_STEEL_HEX_HEAD_SCREW	M48	48.0	5.0	465.0	480.0	483.15	30.42	20.71	15.0	0.3	1.0	52.6	69.45	82.6	1.6	75.0	B	St	JIS B 1180	1994
