PartNumber	PartName	Designation	d_dia(mm)	P_pitch(mm)	threading(mm)	l_length(mm)	c_max(mm)	c_min(mm)	da_max(mm)	ds_max(mm)	dw_min(mm)	e_min(mm)	lf_max(mm)	k_max_head_depth(mm)	kw_head_edge_length(mm)	r_min(mm)	s_nom_across_flats(mm)	ls_shoulder_length(mm)	lg_shoulder_length(mm)	Grade	Material	Reference	Edition
ISO 4014 BOLT M64x300 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x300_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	300.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	117.0	147.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x320 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x320_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	320.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	137.0	167.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x340 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x340_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	340.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	157.0	187.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x360 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x360_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	360.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	177.0	207.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x380 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x380_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	380.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	197.0	227.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x400 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x400_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	400.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	217.0	247.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x420 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x420_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	420.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	237.0	267.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x440 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x440_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	440.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	257.0	287.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x460 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x460_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	460.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	277.0	307.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x480 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x480_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	480.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	297.0	327.0	B	St	ISO 4014	1999
ISO 4014 BOLT M64x500 STEEL GRADE B HEXAGON HEAD	ISO_4014_M64x500_STEEL_GRADE_B_HEXAGON_HEAD_BOLT	M64	64.0	6.0	153.0	500.0	1.0	0.3	71.0	64.0	88.16	104.86	13.0	40.5	27.65	2.0	95.0	317.0	347.0	B	St	ISO 4014	1999
